,n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr,dataset,p
11,2,20,3,0.376405938826411,0.6033333333333334,0.5900000000000001,0.0229703673452722,0.491386336066367,0.6333333333333333,0.84,0.0001299356474394,digits_08,0.0
29,2,20,3,0.2540575210329672,0.65,0.62,0.0168421244936324,0.2774935281003197,0.6266666666666667,0.87,0.0002366440557481,digits_08,0.03
35,2,20,3,0.2540575210329672,0.65,0.62,0.0168421244936324,0.2774935281003197,0.6266666666666667,0.87,0.0002366440557481,digits_08,0.03
53,2,20,3,0.2507882724648135,0.72,0.71,0.038235715007411,0.2570436848979546,0.7933333333333334,0.79,0.0002197064405608,digits_08,0.06
59,2,20,3,0.2507882724648135,0.72,0.71,0.038235715007411,0.2570436848979546,0.7933333333333334,0.79,0.0002197064405608,digits_08,0.06
78,2,20,3,0.2508054447212121,0.6933333333333334,0.69,0.0425622505639543,0.2532797618784113,0.8066666666666666,0.81,0.0003641033372979,digits_08,0.09
84,2,20,3,0.2508054447212121,0.6933333333333334,0.69,0.0425622505639543,0.2532797618784113,0.8066666666666666,0.81,0.0003641033372979,digits_08,0.09
102,2,20,3,0.2505333829723016,0.6966666666666668,0.7,0.0453649515925732,0.2518091892063093,0.7933333333333334,0.74,0.00068457653217,digits_08,0.12
109,2,20,3,0.2505333829723016,0.6966666666666668,0.7,0.0453649515925732,0.2518091892063093,0.7933333333333334,0.74,0.00068457653217,digits_08,0.12
127,2,20,3,0.250333063524699,0.6799999999999999,0.69,0.0491833758263014,0.2511839272916946,0.7666666666666667,0.69,0.000745373766321,digits_08,0.15
134,2,20,3,0.250333063524699,0.6799999999999999,0.69,0.0491833758263014,0.2511839272916946,0.7666666666666667,0.69,0.000745373766321,digits_08,0.15
151,2,20,3,0.2502046688109663,0.7233333333333334,0.63,0.0437189814231004,0.2507006649836233,0.7366666666666667,0.6599999999999999,0.0009094440711929,digits_08,0.18
158,2,20,3,0.2502046688109663,0.7233333333333334,0.63,0.0437189814231004,0.2507006649836233,0.7366666666666667,0.6599999999999999,0.0009094440711929,digits_08,0.18
