"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"89","171.56877388104462","164.48675830555908","0.009700000000000042","0.013599999999999945","0.0058","2100","0.00018311345863349177","0.00018311345863349177","0","0.00018311345863349177","0.00018311345863349177","89_90:0.0021649343373000007;89_88:0.002059783230212331;89_78:0.002620992374305464","89_90:68;89_88:68;89_78:68","true"
"90","45.84698996987386","93.89864009501821","0.14949999999999997","0.20399999999999996","0.095","2100","0.001159721473248294","0.001159721473248294","0","0.001159721473248294","0.001159721473248294","90_89:0.0021649343373000007;90_91:0.0032182974459551428","90_89:68;90_91:80","true"
"91","170.30822881970585","229.2697185991641","0.020399999999999974","0.022","0.01880000000000004","2100","0.0004109567578593834","0.0004109567578593834","0","0.0004109567578593834","0.0004109567578593834","91_98:0.0019933564899233536;91_90:0.0032182974459551428;91_92:0.0035846676075219075","91_98:68;91_90:80;91_92:68","true"
"92","228.68738466606857","366.0819237263928","0.024799999999999933","0.028200000000000003","0.0214","2100","0.00017056781254590715","0.00017056781254590715","0","0.00017056781254590715","0.00017056781254590715","92_91:0.0035846676075219075;92_93:0.002437676555058027","92_91:68;92_93:68","true"
"93","302.1763486944934","264.2728478744813","0.006099999999999994","0.008600000000000052","0.0036","2100","0.00009601367143344575","0.00009601367143344575","0","0.00009601367143344575","0.00009601367143344575","93_94:0.0019608111258023198;93_79:0.0016512649376831667;93_92:0.002437676555058027","93_94:68;93_79:68;93_92:68","true"
"94","278.01839411361067","282.3489682597518","0.06059999999999999","0.0722","0.049000000000000044","2100","0.0001595375518799928","0.0001595375518799928","0","0.0001595375518799928","0.0001595375518799928","94_93:0.0019608111258023198;94_95:0.0016879304117422556","94_93:68;94_95:68","true"
"95","411.3467732516586","23.559153762564797","0.011200000000000099","0.0128","0.009600000000000053","2100","0.0009176000714131402","0.0009176000714131402","0","0.0009176000714131402","0.0009176000714131402","95_99:0.0023484275653092024;95_94:0.0016879304117422556","95_99:68;95_94:68","true"
"96","118.73541589670302","61.839358528996925","0.03290000000000004","0.0408","0.025000000000000022","2100","0.0002843480175245501","0.0002843480175245501","0","0.0002843480175245501","0.0002843480175245501","96_83:0.0017147516353111514;96_103:0.005357011054870686","96_83:68;96_103:68","true"
"97","227.82469157038082","72.3655566233973","0.020299999999999985","0.029200000000000004","0.0114","2100","0.00020498817391622173","0.00020498817391622173","0","0.00020498817391622173","0.00020498817391622173","97_87:0.001628441317303858;97_107:0.0017659651253373598","97_87:68;97_107:68","true"
"98","307.94000585422253","85.32234277274536","0.1421","0.1406","0.14359999999999995","2100","0.00014308367406180018","0.00014308367406180018","0","0.00014308367406180018","0.00014308367406180018","98_91:0.0019933564899233536;98_111:0.0011680604777594417","98_91:68;98_111:68","true"
"99","108.27805966367607","37.02566084706736","0.06420000000000003","0.0676","0.0608","2100","0.0002472146663427248","0.0002472146663427248","0","0.0002472146663427248","0.0002472146663427248","99_115:0.0021201706362368455;99_95:0.0023484275653092024","99_115:68;99_95:68","true"
"100","101.15561846829088","159.27743034541825","0.01760000000000006","0.0192","0.016000000000000014","2100","0.0002537464082949013","0.0002537464082949013","0","0.0002537464082949013","0.0002537464082949013","100_101:0.0023815915911883645","100_101:68","true"
"101","184.7212993055417","79.91275340085274","0.005600000000000049","0.009000000000000008","0.0022","2100","0.0004813544202040609","0.0004813544202040609","0","0.0004813544202040609","0.0004813544202040609","101_100:0.0023815915911883645;101_116:0.0025773925991449953;101_102:0.0038599657647146735","101_100:68;101_116:68;101_102:68","true"
"102","106.42690809667346","149.6669289380217","0.04259999999999997","0.0516","0.03359999999999996","2100","0.0005580404338546696","0.0005580404338546696","0","0.0005580404338546696","0.0005580404338546696","102_101:0.0038599657647146735;102_103:0.006429207588975916","102_101:68;102_103:68","true"
"103","98.72509160953379","82.84736251031927","0.010399999999999965","0.019000000000000017","0.0018","2100","0.00024693479581306245","0.00024693479581306245","0","0.00024693479581306245","0.00024693479581306245","103_104:0.0030764881014392065;103_96:0.005357011054870686;103_102:0.006429207588975916","103_104:68;103_96:68;103_102:68","true"
"104","318.0791345359613","176.9281607054557","0.017199999999999993","0.022399999999999975","0.012","2100","0.00019494561774927494","0.00019494561774927494","0","0.00019494561774927494","0.00019494561774927494","104_103:0.0030764881014392065;104_105:0.0014815774085114308","104_103:68;104_105:68","true"
"105","104.19127684936633","109.63438113921954","0.00770000000000004","0.0114","0.0040000000000000036","2100","0.0002801268503293908","0.0002801268503293908","0","0.0002801268503293908","0.0002801268503293908","105_104:0.0014815774085114308;105_106:0.0013416144857708867;105_117:0.0019529556130021275","105_104:68;105_106:68;105_117:68","true"
"106","195.90470608938725","292.09624875870645","0.08319999999999994","0.0866","0.07979999999999998","2100","0.0001516570815266246","0.0001516570815266246","0","0.0001516570815266246","0.0001516570815266246","106_107:0.0014741170271422854;106_105:0.0013416144857708867","106_107:68;106_105:68","true"
"107","287.38833106020894","231.82348628929518","0.016599999999999948","0.0236","0.009600000000000053","2100","0.00029535002763667555","0.00029535002763667555","0","0.00029535002763667555","0.00029535002763667555","107_106:0.0014741170271422854;107_108:0.001936596688523251;107_97:0.0017659651253373598","107_106:68;107_108:68;107_97:68","true"
"108","100.07389268827","124.61836883656424","0.016000000000000014","0.0248","0.007199999999999984","2100","0.00046688557145818486","0.00046688557145818486","0","0.00046688557145818486","0.00046688557145818486","108_107:0.001936596688523251;108_109:0.001784618292452328","108_107:68;108_109:68","true"
"109","132.2489706990641","110.63359576515467","0.012799999999999923","0.016599999999999948","0.009","2100","0.00012477293294116114","0.00012477293294116114","0","0.00012477293294116114","0.00012477293294116114","109_108:0.001784618292452328;109_110:0.0010553419367410888;109_118:0.0018850107838596086","109_108:68;109_110:68;109_118:68","true"
"110","175.33990128512343","228.103979874318","0.027200000000000002","0.0284","0.026000000000000023","2100","0.00027490629484022656","0.00027490629484022656","0","0.00027490629484022656","0.00027490629484022656","110_109:0.0010553419367410888;110_111:0.0017447387749327803","110_109:68;110_111:68","true"
"111","204.1516820303637","106.63099237047243","0.04039999999999999","0.04479999999999995","0.036","2100","0.00015788960511002137","0.00015788960511002137","0","0.00015788960511002137","0.00015788960511002137","111_112:0.0015219291522770573;111_110:0.0017447387749327803;111_98:0.0011680604777594417","111_112:68;111_110:68;111_98:68","true"
"112","257.86247355252345","189.30428689396808","0.0121","0.0108","0.013399999999999967","2100","0.00020209653423977186","0.00020209653423977186","0","0.00020209653423977186","0.00020209653423977186","112_111:0.0015219291522770573;112_113:0.0017965323440928826","112_111:68;112_113:68","true"
"113","222.9139778486827","113.80630303684087","0.2138","0.10419999999999996","0.3234","2100","0.000244877183888054","0.000244877183888054","0","0.000244877183888054","0.000244877183888054","113_119:1;113_112:0.0017965323440928826;113_114:0.0021517279178337456","113_119:68;113_112:68;113_114:68","true"
"114","261.00322130105843","267.59588339485737","0.02400000000000002","0.027","0.02100000000000002","2100","0.0005415883021249407","0.0005415883021249407","0","0.0005415883021249407","0.0005415883021249407","114_115:0.0012320035206846158;114_113:0.0021517279178337456","114_115:68;114_113:68","true"
